id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0001d16e-06d8-4d4e-8056-c2d519199bac,timetables.kids,available,6.79,19.99,50,4,10,namesilo,,
0027b5c1-0338-42c0-820c-cda66f34adbf,costofgoodssold.kids,available,9.99,,62,1,18,name.com,,
0031519a-516c-4d1c-a0bd-80b576572f9b,grandnieces.kids,available,6.79,19.99,66,1,11,namesilo,,
00610401-5f72-4fe0-b839-8b7070a5969c,rides.kids,available,9.99,,56,15,5,name.com,,
008863f0-884e-409a-b299-c2d27fa76240,grands.kids,available,6.79,19.99,66,8,6,namesilo,,
008e4d74-c3c9-4a67-8ec9-94718738b0ff,overrated.kids,available,9.99,,60,6,10,name.com,,
00a8e164-02db-4b5b-868a-40a6aeaf8ab5,paced.kids,available,9.99,,49,5,5,name.com,,
00da9c8f-01cd-420d-9706-c0a0ccbc09dd,voted.kids,available,9.99,,54,6,5,name.com,,
00f6bc00-c891-4083-acc0-6c2719039788,types.kids,available,9.99,,54,14,5,name.com,,
010b2c62-f1b4-42ce-ba21-b2d97299e05c,midafternoon.kids,premium,62.5,,80,1,12,name.com,,
0110e42a-94b9-49d2-9ad3-cc3db623fbf6,runners.kids,available,9.99,,78,16,7,name.com,,
014b8e09-8a60-4380-9412-123e2179d1f0,buy.kids,resell,,,84,54,3,"Spaceship, Inc.",30/11/2022 06:46,30/11/2026 06:46
01c910f8-a56f-49ba-ab3c-44f00d0a48e6,twits.kids,available,6.79,19.99,46,3,5,namesilo,,
01cac881-6354-428d-b242-67d8329e3600,techsupport.kids,available,9.99,,76,18,12,name.com,,
01dceebf-05c1-457f-a365-af59027a7090,takehuff.kids,available,6.79,19.99,64,1,9,namesilo,,
01f394d7-39fd-410e-ae39-82102ebe26fa,breaks.kids,available,9.99,,52,10,6,name.com,,
0231f4a2-87e1-44cb-abf9-66dd8aa78b31,pieces.kids,available,9.99,,62,12,6,name.com,,
024139be-e331-41ef-9656-1d745360683f,roses.kids,available,9.99,,68,16,5,name.com,,
024ab737-b70c-4187-a2e8-6a3d5c06ea3c,videocameras.kids,available,6.79,19.99,52,3,13,namesilo,,
024e76ff-27a9-4a81-8911-bedd08675c7e,officestaff.kids,available,9.99,,57,2,12,name.com,,
0265ca3a-8dc7-4497-b0ae-432f2bb4e660,explanation.kids,premium,375,,68,7,11,name.com,,
0275a2e8-f734-449e-bc1d-5a30c182af39,coins.kids,premium,375,,56,41,5,name.com,,
027b8c26-8e01-48c3-8401-e711a36dae30,Frenchthyme.kids,available,29.98,,74,1,12,namecheap,,
027e47fe-bc69-449f-8eda-5afa93ac7efa,papered.kids,available,6.79,19.99,50,3,7,namesilo,,
0283012c-9940-4612-b9f1-25eb891e6adf,wins.kids,available,9.99,,68,21,4,name.com,,
02a71234-46b3-4d61-a6ff-d4bf86dec0b7,machines.kids,available,9.99,,56,22,8,name.com,,
02b4017f-da30-47aa-b558-59c4e8e4ae5e,commonyears.kids,available,6.79,19.99,54,1,12,namesilo,,
02db647f-84c1-44da-be7d-a43ce98541f1,getupin.kids,available,9.99,,74,1,9,name.com,,
03206c0a-493f-4eed-97f7-5eb3e510c6d3,reaches.kids,available,9.99,,70,5,7,name.com,,
032b6a99-b655-4265-af8c-fe4d30c0039b,guards.kids,available,9.99,,76,9,6,name.com,,
0342596e-9ae4-4f6c-9ffb-ae730b59419c,estatebottled.kids,available,9.99,,56,0,14,name.com,,
0393bf68-b103-46de-9333-c94d1d180f73,chiefsofstate.kids,available,6.79,19.99,42,1,15,namesilo,,
03af02a1-3610-4cb3-9c22-3580c1d12b00,intimewith.kids,available,6.79,19.99,52,0,12,namesilo,,
03c10f10-4dce-4713-b1f5-d982e48fe6a0,tomorrows.kids,premium,53.92,21.24,60,11,9,namesilo,,
03cc7b22-1b65-4540-a9ad-3037ccecd65e,goastray.kids,available,9.99,,66,1,9,name.com,,
03d46de7-5968-47af-9e3e-a0bef7a2c791,clovers.kids,available,6.79,19.99,62,9,7,namesilo,,
03d96b0d-3729-4a1b-8fd9-245eccfece0f,getused.kids,available,9.99,,72,2,8,name.com,,
03f112d8-0a9e-4c77-ace7-d709a20548c8,minimums.kids,available,6.79,19.99,52,2,8,namesilo,,
040d38df-42ae-4a47-9a95-811e8bf17d0a,shouldof.kids,available,6.79,19.99,55,1,9,namesilo,,
043971bd-ef70-4552-a0c2-dd08156aa19e,excitingness.kids,available,9.99,,68,1,12,name.com,,
047c090a-9679-4f21-a274-23924b8aba2f,bloodpressuregage.kids,available,9.99,,48,1,19,name.com,,
04cf567b-5826-40a1-92cc-3ac58135e8ae,DaffyDuck.kids,available,29.98,,86,2,10,namecheap,,
04e92e24-d53d-4047-a317-5cf995a4be5d,hookupwith.kids,available,9.99,,56,1,12,name.com,,
04f361d0-5b95-4e49-ab22-0291f8e9aada,skateover.kids,available,9.99,,60,0,10,name.com,,
04faa57a-8234-4e56-9884-831a0ec8bfb7,manysidedness.kids,available,9.99,,64,1,14,name.com,,
0524001c-ea4c-42ab-8e83-97365934fd99,Acup.kids,available,29.98,,80,5,5,namecheap,,
0524a739-f4cd-4f6c-90a9-baf9ea2bcc5e,eachway.kids,available,9.99,,68,2,8,name.com,,
053882f0-e857-45b2-a3a6-2290fb8a0d81,tradeunions.kids,available,6.79,19.99,48,1,12,namesilo,,
0562d5ba-0eb4-4e57-b673-d719dcd19ebb,ventured.kids,available,9.99,,60,6,8,name.com,,
057172f0-a233-42b3-8f31-e37e862e532a,continentalplate.kids,available,9.99,,42,1,17,name.com,,
0584d55f-8b15-4ae7-8ac0-3f0731eaaf03,inwaiting.kids,available,9.99,,50,1,10,name.com,,
059ec738-c71f-4520-8754-0d0c9e89ecce,officedesk.kids,available,9.99,,55,5,11,name.com,,
05b0f6a1-31d8-45c3-8c93-3156c8fe09d4,prettiest.kids,available,9.99,,62,4,9,name.com,,
05b64140-4fca-4b87-9337-a6c10983970a,prototypes.kids,available,6.79,19.99,56,9,10,namesilo,,
05c26ea3-0dfc-4857-9717-a7c8a550a612,jetblack.kids,available,9.99,,82,8,9,name.com,,
05d6c82b-7db1-4596-b8ff-677d90ca873f,settlefor.kids,available,9.99,,76,0,10,name.com,,
05d7e020-5511-4f0e-9128-392ab82e0df7,Ispin.kids,available,29.98,,76,5,6,namecheap,,
0618a8c1-786d-4efa-b049-2871def562cc,thesame.kids,available,9.99,,54,5,8,name.com,,
06861e68-d66a-4897-be6a-5068d052f8b9,businessmen.kids,available,6.79,19.99,74,4,11,namesilo,,
068d199c-4e26-4c42-b2fc-bdb69d19c100,females.kids,available,9.99,,62,8,7,name.com,,
068fecb1-0e8f-424b-aa8d-95a5351bf440,letsomethingslip.kids,available,9.99,,67,1,18,name.com,,
06d56f8f-4cd9-4824-bfcb-5ded2cf52c15,sisters.kids,premium,375,,63,15,7,name.com,,
06f3bc4c-236e-4d57-ae1f-4770cbcc270c,getthejobdone.kids,available,9.99,,74,2,16,name.com,,
0719c299-48f0-4fa0-a354-a5df1da91913,calls.kids,available,9.99,,50,16,5,name.com,,
072508bb-e192-4bb0-b961-61cb9f1536ab,MerryXmas.kids,available,29.98,,70,4,10,namecheap,,
072c19a1-8c8f-41d5-b28d-8592d2eadcbd,champs.kids,available,9.99,,56,16,6,name.com,,
07302787-a2ce-489e-af23-90779ab717e5,keepbooks.kids,available,6.79,19.99,52,2,10,namesilo,,
074451d0-99e4-48af-ad37-6db6fc48677e,quizzes.kids,available,9.99,,54,8,7,name.com,,
076a7981-7950-4d5f-8e84-fbf022d77db8,showin.kids,available,9.99,,72,4,7,name.com,,
07b9e8c7-baa2-4105-883e-3b74742d56ae,chaitea.kids,available,9.99,,86,3,8,name.com,,
07bcce52-37a3-493d-8a38-e3bb7a7e44dc,yielded.kids,available,9.99,,56,3,7,name.com,,
07be1dc1-0e7b-435f-9f44-b6931c8b227e,generalformulae.kids,available,6.79,19.99,44,0,16,namesilo,,
07d502a5-9340-4bd7-91ed-1cf590524854,closets.kids,available,9.99,,56,10,7,name.com,,
07ddba4d-a491-45d1-9bb8-055b604d8e78,thumbs.kids,available,9.99,,56,7,6,name.com,,
07e769c0-3d7c-4c52-8178-820845419390,swishing.kids,available,9.99,,74,3,8,name.com,,
07eab2da-6ae5-4d9d-a792-df9f8365d1f2,gettosecondbase.kids,available,9.99,,47,1,18,name.com,,
07f50b17-4fca-4022-acf1-a41eb18327b7,takeout.kids,premium,62.5,,75,16,8,name.com,,
08093096-3486-4551-94ea-09a6dfe8cbf5,getthedoor.kids,available,9.99,,76,0,12,name.com,,
0854a23d-85c7-4660-8c01-fde9a7266f9e,knees.kids,available,9.99,,50,5,5,name.com,,
086a1f1a-40ca-4b70-b4d9-4bbec1b67b3d,reston.kids,available,9.99,,75,10,7,name.com,,
088d2930-ba80-45ed-bc13-b93c76a7c888,keephouse.kids,available,9.99,,70,2,10,name.com,,
08d10cfa-5927-4728-8a59-9522d6646668,paintthinner.kids,available,9.99,,56,1,13,name.com,,
08d1535d-0139-4d9d-aa93-8356c1a10383,contacts.kids,available,6.79,19.99,54,20,8,namesilo,,
08d50480-9275-4338-9195-4fb2ec023922,gooverboard.kids,available,9.99,,64,1,12,name.com,,
08e7fbc4-21f0-4902-b993-bfbeae799b16,prayed.kids,available,9.99,,62,4,6,name.com,,
08fbc4cb-b2a9-452c-a96a-8bbaa05693fb,televised.kids,available,6.79,19.99,72,3,9,namesilo,,
09035d27-5411-4c5d-8b4b-73777d7f7358,sticks.kids,premium,375,,60,11,6,name.com,,
09184866-1998-4918-a57a-708766aea227,gowholehog.kids,available,9.99,,70,1,12,name.com,,
09204b08-f36c-4ff3-aa1f-14492e2d82d8,TheMall.kids,available,29.98,,68,10,8,namecheap,,
